"date","nation","county","state","statename","race","cases","deaths","racePopulation","caserate","deathrate","populationTot","percentPop","Show"
2020-07-05,"","",23,"Maine","Hispanic",124,0,21421,578.87,0,1332813,1.61,"No"
2020-07-05,"","",24,"Maryland","All Races Combined",69632,3243,6003435,1159.87,54.02,6003435,100,"Yes"
2020-07-05,"","",24,"Maryland","African American",19953,1304,1759438,1134.06,74.11,6003435,29.31,"Yes"
2020-07-05,"","",24,"Maryland","White",13788,1392,3084868,446.96,45.12,6003435,51.39,"Yes"
2020-07-05,"","",24,"Maryland","Other Race",3403,35,19368,17570.22,180.71,6003435,0.32,"No"
2020-07-05,"","",24,"Maryland","Hispanic",18568,355,588912,3152.93,60.28,6003435,9.81,"No"
2020-07-05,"","",25,"Massachusetts","All Races Combined",109974,8183,6830193,1610.12,119.81,6830193,100,"Yes"
2020-07-05,"","",25,"Massachusetts","African American",10357,669,463796,2233.09,144.24,6830193,6.79,"No"
2020-07-05,"","",25,"Massachusetts","White",33369,6133,4930412,676.8,124.39,6830193,72.19,"Yes"
2020-07-05,"","",25,"Massachusetts","Other Race",5681,534,53268,10664.94,1002.48,6830193,0.78,"No"
2020-07-05,"","",25,"Massachusetts","Hispanic",21357,570,789127,2706.41,72.23,6830193,11.55,"Yes"
2020-07-05,"","",26,"Michigan","All Races Combined",72941,6218,9957488,732.52,62.45,9957488,100,"Yes"
2020-07-05,"","",26,"Michigan","African American",20823,2464,1360345,1530.71,181.13,9957488,13.66,"Yes"
2020-07-05,"","",26,"Michigan","White",28788,3217,7489371,384.38,42.95,9957488,75.21,"Yes"
2020-07-05,"","",26,"Michigan","Other Race",4299,121,14334,29991.63,844.15,9957488,0.14,"No"
2020-07-05,"","",26,"Michigan","Hispanic",5835,124,497897,1171.93,24.9,9957488,5,"No"
2020-07-05,"","",27,"Minnesota","All Races Combined",38136,1471,5527358,689.95,26.61,5527358,100,"Yes"
2020-07-05,"","",27,"Minnesota","African American",7861,125,336505,2336.07,37.15,5527358,6.09,"No"
2020-07-05,"","",27,"Minnesota","White",15525,1096,4438071,349.81,24.7,5527358,80.29,"Yes"
2020-07-05,"","",27,"Minnesota","Other Race",4817,21,7021,68608.46,299.1,5527358,0.13,"No"
2020-07-05,"","",27,"Minnesota","Hispanic",8498,49,292764,2902.68,16.74,5527358,5.3,"No"
2020-07-05,"","",28,"Mississippi","All Races Combined",30674,1107,2988762,1026.31,37.04,2988762,100,"Yes"
2020-07-05,"","",28,"Mississippi","African American",14819,553,1121752,1321.06,49.3,2988762,37.53,"Yes"
2020-07-05,"","",28,"Mississippi","White",8099,454,1696952,477.27,26.75,2988762,56.78,"Yes"
2020-07-05,"","",28,"Mississippi","Other Race",1680,9,2858,58782.37,314.91,2988762,0.1,"No"
2020-07-05,"","",28,"Mississippi","Hispanic",1528,18,90493,1688.53,19.89,2988762,3.03,"No"
2020-07-05,"","",29,"Missouri","All Races Combined",23436,1028,6090062,384.82,16.88,6090062,100,"Yes"
2020-07-05,"","",29,"Missouri","African American",6325,362,699730,903.92,51.73,6090062,11.49,"Yes"
2020-07-05,"","",29,"Missouri","White",10368,596,4848330,213.85,12.29,6090062,79.61,"Yes"
2020-07-05,"","",29,"Missouri","Other Race",1588,27,9826,16161.2,274.78,6090062,0.16,"No"
2020-07-05,"","",29,"Missouri","Hispanic",3550,25,249105,1425.1,10.04,6090062,4.09,"No"
2020-07-05,"","",30,"Montana","All Races Combined",1212,23,1041732,116.34,2.21,1041732,100,"Yes"
2020-07-05,"","",30,"Montana","African American",6,NA,4348,137.99,NA,1041732,0.42,"No"
2020-07-05,"","",30,"Montana","White",775,14,898953,86.21,1.56,1041732,86.29,"Yes"
2020-07-05,"","",30,"Montana","Other Race",18,NA,486,3703.7,NA,1041732,0.05,"No"
2020-07-05,"","",30,"Montana","Hispanic",77,NA,39019,197.34,NA,1041732,3.75,"No"
2020-07-05,"","",31,"Nebraska","All Races Combined",19929,284,1904760,1046.27,14.91,1904760,100,"Yes"
2020-07-05,"","",31,"Nebraska","African American",1200,21,88442,1356.82,23.74,1904760,4.64,"No"
