"date","nation","county","state","statename","race","cases","deaths","racePopulation","caserate","deathrate","populationTot","percentPop","Show"
2020-07-12,"","",5,"Arkansas","Hispanic",6851,28,219052,3127.57,12.78,2990671,7.32,"Yes"
2020-07-12,"","",6,"California","All Races Combined",320804,7017,39148760,819.45,17.92,39148760,100,"Yes"
2020-07-12,"","",6,"California","African American",9021,613,2164519,416.77,28.32,39148760,5.53,"Yes"
2020-07-12,"","",6,"California","White",36481,2140,14695836,248.24,14.56,39148760,37.54,"Yes"
2020-07-12,"","",6,"California","American Natives",446,25,138427,322.19,18.06,39148760,0.35,"No"
2020-07-12,"","",6,"California","Other Race",32060,84,97763,32793.59,85.92,39148760,0.25,"No"
2020-07-12,"","",6,"California","Hispanic",112854,3020,15221577,741.41,19.84,39148760,38.88,"Yes"
2020-07-12,"","",8,"Colorado","All Races Combined",36913,1586,5531141,667.37,28.67,5531141,100,"Yes"
2020-07-12,"","",8,"Colorado","African American",1736,107,216732,800.99,49.37,5531141,3.92,"Yes"
2020-07-12,"","",8,"Colorado","White",11400,981,3778212,301.73,25.96,5531141,68.31,"Yes"
2020-07-12,"","",8,"Colorado","American Natives",183,8,30131,607.35,26.55,5531141,0.54,"No"
2020-07-12,"","",8,"Colorado","Other Race",264,7,10352,2550.23,67.62,5531141,0.19,"No"
2020-07-12,"","",8,"Colorado","Hispanic",12604,343,1184794,1063.81,28.95,5531141,21.42,"Yes"
2020-07-12,"","",9,"Connecticut","All Races Combined",47287,4348,3581504,1320.31,121.4,3581504,100,"Yes"
2020-07-12,"","",9,"Connecticut","African American",6189,646,351817,1759.15,183.62,3581504,9.82,"Yes"
2020-07-12,"","",9,"Connecticut","White",16610,3184,2418696,686.73,131.64,3581504,67.53,"Yes"
2020-07-12,"","",9,"Connecticut","American Natives",45,2,5320,845.86,37.59,3581504,0.15,"No"
2020-07-12,"","",9,"Connecticut","Other Race",264,16,11421,2311.53,140.09,3581504,0.32,"No"
2020-07-12,"","",9,"Connecticut","Hispanic",8973,376,561791,1597.21,66.93,3581504,15.69,"Yes"
2020-07-12,"","",10,"Delaware","All Races Combined",12804,517,949495,1348.51,54.45,949495,100,"Yes"
2020-07-12,"","",10,"Delaware","African American",3266,132,204665,1595.78,64.5,949495,21.56,"Yes"
2020-07-12,"","",10,"Delaware","White",4135,324,595623,694.23,54.4,949495,62.73,"Yes"
2020-07-12,"","",10,"Delaware","American Natives",,,2851,,,949495,0.3,"No"
2020-07-12,"","",10,"Delaware","Other Race",614,6,1804,34035.48,332.59,949495,0.19,"No"
2020-07-12,"","",10,"Delaware","Hispanic",3447,32,86315,3993.51,37.07,949495,9.09,"Yes"
2020-07-12,"","",11,"District of Columbia","All Races Combined",10847,568,684498,1584.66,82.98,684498,100,"Yes"
2020-07-12,"","",11,"District of Columbia","African American",5354,421,315281,1698.17,133.53,684498,46.06,"Yes"
2020-07-12,"","",11,"District of Columbia","White",2218,60,248057,894.15,24.19,684498,36.24,"Yes"
2020-07-12,"","",11,"District of Columbia","American Natives",27,,1314,2054.79,,684498,0.19,"No"
2020-07-12,"","",11,"District of Columbia","Other Race",2781,5,2648,105022.66,188.82,684498,0.39,"No"
2020-07-12,"","",11,"District of Columbia","Hispanic",3037,74,74776,4061.46,98.96,684498,10.92,"Yes"
2020-07-12,"","",12,"Florida","All Races Combined",269811,4346,20598139,1309.88,21.1,20598139,100,"Yes"
2020-07-12,"","",12,"Florida","African American",38335,864,3167011,1210.45,27.28,20598139,15.38,"Yes"
2020-07-12,"","",12,"Florida","White",56326,1993,11196857,503.05,17.8,20598139,54.36,"Yes"
2020-07-12,"","",12,"Florida","American Natives",,,41776,,,20598139,0.2,"No"
2020-07-12,"","",12,"Florida","Other Race",9396,142,68744,13668.1,206.56,20598139,0.33,"No"
2020-07-12,"","",12,"Florida","Hispanic",69473,1102,5184720,1339.96,21.25,20598139,25.17,"Yes"
2020-07-12,"","",13,"Georgia","All Races Combined",116926,3001,10297484,1135.48,29.14,10297484,100,"Yes"
2020-07-12,"","",13,"Georgia","African American",30945,1391,3195363,968.43,43.53,10297484,31.03,"Yes"
2020-07-12,"","",13,"Georgia","White",27669,1365,5476441,505.24,24.92,10297484,53.18,"Yes"
2020-07-12,"","",13,"Georgia","American Natives",67,4,18416,363.81,21.72,10297484,0.18,"No"
2020-07-12,"","",13,"Georgia","Other Race",3243,12,30394,10669.87,39.48,10297484,0.3,"No"
2020-07-12,"","",13,"Georgia","Hispanic",17179,162,968463,1773.84,16.73,10297484,9.4,"Yes"
2020-07-12,"","",15,"Hawaii","All Races Combined",1220,19,1422029,85.79,1.34,1422029,100,"Yes"
2020-07-12,"","",15,"Hawaii","African American",10,,24472,40.86,,1422029,1.72,"Yes"
2020-07-12,"","",15,"Hawaii","White",205,,314536,65.18,,1422029,22.12,"Yes"
2020-07-12,"","",15,"Hawaii","American Natives",,,1877,,,1422029,0.13,"No"
2020-07-12,"","",15,"Hawaii","Other Race",26,,1591,1634.19,,1422029,0.11,"No"
2020-07-12,"","",15,"Hawaii","Hispanic",,,147962,,,1422029,10.4,"Yes"
2020-07-12,"","",16,"Idaho","All Races Combined",10902,102,1687809,645.93,6.04,1687809,100,"Yes"
2020-07-12,"","",16,"Idaho","African American",150,1,10739,1396.78,9.31,1687809,0.64,"No"
2020-07-12,"","",16,"Idaho","White",5355,96,1387654,385.9,6.92,1687809,82.22,"Yes"
2020-07-12,"","",16,"Idaho","American Natives",95,1,18775,505.99,5.33,1687809,1.11,"Yes"
2020-07-12,"","",16,"Idaho","Other Race",1195,1,1038,115125.24,96.34,1687809,0.06,"No"
2020-07-12,"","",16,"Idaho","Hispanic",2091,8,209073,1000.13,3.83,1687809,12.39,"Yes"
